@relation 'NSL-KDD-completo-weka.filters.unsupervised.attribute.Remove-V-R4-6,12,26,29-30,37,42'

@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute logged_in numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute classe {normal,ataque}

@data
REJ,0,0,0,0,0.06,0.06,0,ataque
S0,0,0,0,1,0.16,0.07,0,ataque
S0,0,0,0,1,0.01,0.05,0,ataque
REJ,0,0,0,0,1,0,0.02,normal
REJ,0,0,0,0,0,0.95,0,ataque
SF,1,0,0,0,0.27,0.09,0,ataque
S0,0,0,0,1,0.03,0.06,0,ataque
SF,30,0,0,0,1,0,0,normal
SF,2078,333,1,0,1,0,0.02,normal
SF,19,0,0,0,1,0,0,normal
SF,661,329,1,0,1,0,0.03,normal
SF,28,0,0,0,0.97,0.06,0,ataque
S0,0,0,0,1,0.07,0.14,0,ataque
S0,0,0,0,1,0.17,0.07,0,ataque
S0,0,0,0,1,0.05,0.06,0,ataque
SF,1075,364,1,0,1,0,0,normal
SF,223,656,1,0,1,0,0.02,normal
SF,350,1185,1,0,1,0,0,ataque
SF,233,2470,1,0,1,0,0.01,normal
S0,0,0,0,1,0.04,0.07,0,ataque
S0,0,0,0,1,0.08,0.06,0,ataque
SF,201,1938,1,0,1,0,0.03,normal
SF,271,4781,1,0,1,0,0.25,normal
SF,14416,0,1,0,1,0,0.04,normal
SF,227,11564,1,0,1,0,0.04,normal
REJ,0,0,0,0,0,0.52,0,ataque
SF,225,2445,1,0,1,0,0,normal
SF,176,426,1,0,1,0,0,normal
S0,0,0,0,1,0.1,0.06,0,ataque
SF,227,762,1,0,1,0,0.02,normal
SF,855,575,1,0,1,0,0,normal
SF,944,330,1,0,1,0,0.01,normal
SF,954,326,1,0,0.5,1,0.02,normal
S0,0,0,0,1,0.09,0.06,0,ataque
SF,166,34660,1,0,1,0,0.06,normal
SF,306,2698,1,0,1,0,0,normal
S0,0,0,0,1,0.15,0.05,0,ataque
REJ,0,0,0,0,0.01,1,0,ataque
SF,1480,0,0,0,1,0,0.5,ataque
S0,0,0,0,1,0.06,0.05,0,ataque
SF,313,8549,1,0,1,0,0,normal
S0,0,0,0,1,0.08,0.05,0,ataque
S0,0,0,0,1,0.09,0.06,0,ataque
SF,285,6008,1,0,1,0,0.01,normal
SF,226,1411,1,0,1,0,0.02,normal
SF,256,12984,1,0,1,0,0.04,normal
SF,3740,449,1,0,1,0,0.01,normal
SF,224,449,1,0.09,1,0,0.04,normal
S0,0,0,0,1,0.03,0.07,0,ataque
SF,832,0,1,0,1,0,0.18,ataque
S0,0,0,0,1,0.08,0.06,0,ataque
SF,8,0,0,0,1,0,0.56,ataque
SF,201,169,1,0,1,0,0.04,normal
SF,285,304,1,0,1,0,0.03,normal
S0,0,0,0,1,0.19,0.05,0,ataque
SF,7422,0,1,0,1,0,0,normal
SF,198,12884,1,0,1,0,0,normal
SF,2310,328,1,0,1,0,0,normal
SF,331,955,1,0,1,0,0.01,normal
SF,65,0,0,0,0.22,0.22,0,normal
SF,28,0,0,0,1,0,0,ataque
SF,45,77,0,0,1,0,0,normal
RSTO,0,0,0,0,0.01,0.06,0,ataque
S0,0,0,0,1,0.03,0.07,0,ataque
S0,0,0,0,1,0.02,0.07,0,ataque
SF,9,142,0,0,1,0,0,normal
SF,283,912,1,0,1,0,0.03,normal
SF,221,1789,1,0.1,1,0,0.02,normal
SF,18,0,0,0,1,0,1,ataque
S0,0,0,0,1,0.01,0.06,0,ataque
S0,0,0,0,1,0.07,0.13,0,ataque
S0,0,0,0,1,0.03,0.06,0,ataque
SF,302,1380,1,0,1,0,0,normal
S0,0,0,0,1,0.06,0.09,0,ataque
SF,8,0,0,0,1,0,0.5,ataque
S0,0,0,0,1,0.07,0.06,0,ataque
SF,355,870,1,0,1,0,0,normal
SF,8,0,0,0,1,0,0.51,ataque
SF,106,1468,0,0,1,0,0,normal
SF,286,1423,1,0,1,0,0.05,normal
RSTR,1,0,0,0,1,0,0,ataque
SH,0,0,0,1,1,0,0,ataque
SF,1032,0,0,0,1,0,0,ataque
SF,168,9551,1,0,1,0,0.01,normal
SF,238,864,1,0,1,0,0.01,normal
RSTR,0,0,0,0,1,0,0,ataque
SF,291,10369,1,0,1,0,0.05,normal
S0,0,0,0,1,0.1,0.05,0,ataque
SF,749,330,1,0,1,0,0.02,normal
SF,198,6924,1,0,1,0,0.01,normal
REJ,0,0,0,0,0.04,0.06,0,ataque
SF,167,709,1,0,1,0,0.02,normal
SF,241,851,1,0,1,0,0.03,normal
SF,337,3360,1,0,1,0,0,normal
SF,729,328,1,0,1,0,0.01,normal
SF,8,0,0,0,1,0,0.51,ataque
S0,0,0,0,1,0,0.06,0,ataque
SF,222,1483,1,0,1,0,0,normal
REJ,0,0,0,0,0.05,0.06,0,ataque
REJ,0,0,0,0,1,0,0.24,normal
SF,46,134,0,0,1,0,0,normal
SF,246,2719,1,0,1,0,0.07,normal
SF,222,771,1,0,1,0,0.02,normal
S0,0,0,0,1,0.04,0.05,0,ataque
S0,0,0,0,1,0.05,0.06,0,ataque
SF,279,9598,1,0,1,0,0,normal
SF,226,651,1,0,1,0,0,normal
SF,299,447,1,0,1,0,0,normal
S0,0,0,0,1,0.43,0.29,0,ataque
SF,12,0,1,0,1,0,0.02,normal
SF,281,1951,1,0,1,0,0.03,normal
S0,0,0,0,1,0.18,0.05,0,ataque
SF,42,42,0,0,1,0,0,normal
S0,0,0,0,1,0.02,0.06,0,ataque
S0,0,0,0,1,0.05,0.07,0,ataque
SF,263,453,1,0,1,0,0,normal
RSTR,1,0,0,0,1,0,0,ataque
RSTO,0,0,0,0,1,0,0,normal
S0,0,0,0,1,0.1,0.06,0,ataque
S0,0,0,0,1,0.04,0.07,0,ataque
SF,283,1980,1,0,1,0,0.03,normal
SF,161,5530,1,0,1,0,0.05,normal
SF,211,321,1,0,1,0,0.01,normal
SF,201,1701,1,0,1,0,0.04,normal
SF,8,0,0,0,1,0,0.25,ataque
SF,147,0,0,0,0.33,0.67,0,normal
S0,0,0,0,1,0.22,0.05,0,ataque
SF,567,0,0,0,1,0,0.05,normal
REJ,0,0,0,0,0.01,0.07,0,ataque
S0,0,0,0,1,0.24,0.09,0,ataque
SF,5131424,0,1,0.14,1,0,0.14,ataque
SF,320,420,1,0,1,0,0,normal
SF,8,0,0,0,1,0,0.51,ataque
S0,0,0,0,0.5,1,0,0.02,normal
SF,204,1229,1,0,1,0,0.04,normal
RSTR,0,0,0,0,1,0,0,ataque
SF,10389,0,1,0,1,0,0,normal
S0,0,0,0,1,0.09,0.06,0,ataque
SF,344,573,1,0.03,1,0,0,normal
RSTO,0,0,0,0,0.11,0.06,0,ataque
S0,0,0,0,1,0.08,0.05,0,ataque
SF,243,821,1,0,1,0,0.01,normal
SF,1032,0,0,0,1,0,0,ataque
SF,8,0,0,0,1,0,0.55,ataque
REJ,0,0,0,0,0.03,1,0,ataque
SF,105,146,0,0,0.67,0.67,0,normal
S0,0,0,0,1,0.07,0.05,0,ataque
SF,1080,327,1,0,1,0,0.01,normal
S0,0,0,0,1,0.02,0.05,0,ataque
S0,0,0,0,1,0.02,0.07,0,ataque
S0,0,0,0,1,0.01,0.06,0,ataque
SF,657,326,1,0,0.5,1,0,normal
S0,0,0,0,1,0.07,0.06,0,ataque
SF,284,765,1,0,1,0,0,normal
SF,261,15455,1,0,1,0,0,normal
SF,317,315,1,0,1,0,0,normal
SF,33,0,0,0,1,0,0,normal
REJ,0,0,0,0,0.5,1,0,ataque
RSTR,0,0,0,0,1,0,0,ataque
SF,44,70,0,0,1,0,0,normal
SF,215,584,1,0,1,0,0,normal
S0,0,0,0,1,0.03,0.07,0,ataque
SF,332,2844,1,0,1,0,0.03,normal
SF,978,334,1,0,1,0,0.02,normal
SF,296,5670,1,0,1,0,0.02,normal
S0,0,0,0,1,0.1,0.06,0,ataque
REJ,0,0,0,0,0.07,0.06,0,ataque
SF,214,9986,1,0,1,0,0.02,normal
S0,0,0,0,1,0.03,0.07,0,ataque
SF,48,48,0,0,1,0,0,normal
SF,226,1301,1,0,1,0,0.03,normal
S0,0,0,0,1,0.08,0.07,0,ataque
SF,78,0,0,0,0.4,0.1,0,normal
S0,0,0,0,1,0.01,0.07,0,ataque
REJ,0,0,0,0,1,0,0.18,normal
S0,0,0,0,1,0.07,0.06,0,ataque
REJ,0,0,0,0,1,0,1,ataque
REJ,0,0,0,0,0.5,1,0,ataque
SF,294,3327,1,0,1,0,0.04,normal
S0,0,0,0,1,0.01,0.05,0,ataque
SF,220,1249,1,0,1,0,0.03,normal
REJ,0,0,0,0,0,1,0,ataque
SF,196,3282,1,0,1,0,0,normal
S0,0,0,0,0.43,0.05,0.06,0,ataque
SF,327,4482,1,0,1,0,0.02,normal
REJ,0,0,0,0,0.01,0.07,0,ataque
SF,319,0,0,0,1,0,0,normal
SF,1087,302,1,0,1,0,0.03,normal
SF,210,3754,1,0,1,0,0.02,normal
S0,0,0,0,1,0.15,0.06,0,ataque
REJ,0,0,0,0,1,0,0.15,normal
SF,234,6282,1,0,1,0,0.03,normal
SF,8,0,0,0,1,0,0.5,ataque
SF,54540,8314,1,0,1,0,0,ataque
SF,237,1461,1,0,1,0,0.02,normal
S0,0,0,0,1,0.24,0.1,0.03,ataque
S0,0,0,0,1,0.04,0.06,0,ataque
SF,200,955,1,0,1,0,0.01,normal
SF,219,657,1,0,1,0,0.01,normal
SF,284,5921,1,0,1,0,0.07,normal
S0,0,0,0,1,0.06,0.07,0,ataque
SF,325,426,1,0,1,0,0.01,normal
S0,0,0,0,1,0.05,0.07,0,ataque
SF,30,0,0,0,1,0,0,normal
SF,335,7902,1,0,1,0,0.04,normal
SF,36,0,0,0,1,0,0.01,normal
S0,0,0,0,1,0.02,0.08,0,ataque
SF,43,43,0,0,1,0,0,normal
S0,0,0,0,1,0.07,0.06,0,ataque
REJ,0,0,0,0,1,0,0.24,normal
S0,0,0,0,1,0.33,0.14,0,ataque
S0,0,0,0,1,0.13,0.06,0,ataque
SF,216,1956,1,0,1,0,0.05,normal
S0,0,0,0,1,0.06,0.05,0,ataque
SF,44,78,0,0,1,0,0,normal
SF,347,8113,1,0,1,0,0,normal
SF,570,280,1,0,1,0,0.02,normal
SF,219,17540,1,0,1,0,0.05,normal
SF,146,0,0,0,0.33,1,0,normal
S0,0,0,0,1,0,0.06,0,ataque
S0,0,0,0,1,0.03,0.05,0,ataque
S0,0,0,0,1,0.06,0.07,0,ataque
S0,0,0,0,1,0.11,0.06,0,ataque
RSTR,1,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.19,0.11,0,ataque
SF,18,0,0,0,1,0,0.25,ataque
SF,0,4,0,0,1,0,0,normal
SF,233,581,1,0,1,0,0,normal
S0,0,0,0,1,0.07,0.05,0,ataque
SF,276,0,0,0,1,0,0.08,normal
SF,44,139,0,0,1,0,0,normal
SF,8,0,0,0,1,0,0.51,ataque
SF,1828,148722,1,0,1,0,0,normal
SF,200,764,1,0,1,0,0.02,normal
SF,46,46,0,0,1,0,0,normal
S0,0,0,0,1,0.07,0.05,0,ataque
S0,0,0,0,1,1,0,0,ataque
SF,216,5284,1,0,1,0,0.02,normal
RSTO,0,0,0,0,0.07,0.06,0,ataque
SF,234,997,1,0,1,0,0,normal
SF,220,1643,1,0.04,1,0,0.04,normal
S0,0,0,0,1,0.02,0.06,0,ataque
SF,105,146,0,0,0.14,0.29,0,normal
REJ,0,0,0,0,1,0,0.04,normal
S0,0,0,0,1,0.06,0.06,0,ataque
S0,0,0,0,1,0.01,0.06,0,ataque
S0,0,0,0,1,0.03,0.06,0,ataque
SF,288,2881,1,0,1,0,0.05,normal
RSTO,0,0,0,0,0.03,0.07,0,ataque
S0,0,0,0,1,0.02,0.07,0,ataque
SF,1,0,0,0,0.08,0.17,0,ataque
SF,28,0,0,0,1,0,0,ataque
SF,279,494,1,0,1,0,0,normal
SF,1032,0,0,0,1,0,0,ataque
SF,192,0,1,0,1,0,0,normal
SF,105,1401,1,0,1,0,0,normal
REJ,0,0,0,0,1,0,1,ataque
SF,1330,282,1,0,1,0,0,normal
SF,520,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.09,0.09,0,ataque
SF,230,362,1,0,1,0,0.04,normal
SF,44,110,0,0,1,0,0,normal
SF,271,3582,1,0,1,0,0.03,normal
SF,179,1668,1,0,1,0,0.03,normal
SF,852,0,0,0,1,0,0.05,normal
SF,222,310,1,0,1,0,0.01,normal
SF,314,4137,1,0,1,0,0,normal
RSTO,0,0,0,0,0.07,0.06,0,ataque
SF,230,6880,1,0,1,0,0.04,normal
S0,0,0,0,1,0.03,0.08,0,ataque
S0,0,0,0,1,0.01,0.06,0,ataque
SF,857,327,1,0,1,0,0.02,normal
SF,234,1707,1,0,1,0,0.04,normal
SF,1032,0,0,0,1,0,0,ataque
SF,28,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.05,0.06,0,ataque
SF,215,6367,1,0,1,0,0,normal
SF,46,46,0,0,1,0,0,normal
SF,105,146,0,0,1,0,0,normal
S0,0,0,0,1,0.16,0.04,0,ataque
S0,0,0,0,1,0.46,0.11,0,ataque
S0,0,0,0,1,0.05,0.06,0,ataque
SF,305,2507,1,0,1,0,0,normal
REJ,0,0,0,0,0.17,0.08,0,ataque
SF,336,15767,1,0,1,0,0.02,normal
S0,0,0,0,1,0.01,0.06,0,ataque
S0,0,0,0,1,0.06,0.07,0,ataque
SF,147,105,0,0,1,0,0,normal
SF,335,1212,1,0,1,0,0.21,normal
S0,0,0,0,1,0.23,0.05,0,ataque
SF,339,241,1,0,1,0,0.02,normal
SF,317,3245,1,0,1,0,0.01,normal
S0,0,0,0,1,0.16,0.06,0,ataque
SF,54540,8314,1,0,1,0,0,ataque
S0,0,0,0,1,0.01,0.07,0,ataque
SF,42,131,0,0,1,0,0,normal
SF,986,368,1,0,1,0,0.01,normal
S0,0,0,0,1,0.02,0.08,0,ataque
SF,183,0,0,0,1,0,0,normal
REJ,0,0,0,0,0.03,0.07,0,ataque
SF,405,23786,1,0,1,0,0.05,normal
S0,0,0,0,1,0.09,0.05,0,ataque
SF,785,327,1,0,1,0,0.03,normal
SF,258,4302,1,0,1,0,0.06,normal
S0,0,0,0,1,0.04,0.06,0,ataque
SF,8,0,0,0,1,0,0.51,ataque
SF,318,2649,1,0,1,0,0.09,normal
REJ,0,0,0,0,0.01,0.07,0,ataque
S0,0,0,0,1,0.09,0.06,0,ataque
S0,0,0,0,1,0.02,0.06,0,ataque
SF,216,1240,1,0,1,0,0,normal
RSTR,0,0,0,0,0.08,0.52,0,ataque
SF,291,320,1,0,1,0,0.05,normal
SF,224,546,1,0,1,0,0.06,normal
REJ,0,0,0,0,0.01,0.99,0,ataque
S0,0,0,0,1,0,0.07,0,ataque
SF,17,42,0,0,1,0,0,normal
S0,0,0,0,1,0.11,0.06,0,ataque
SF,29,29,0,0,1,0,0,normal
SF,105,147,0,0,1,0,0,normal
SF,30,0,0,0,0.08,0.25,0,normal
SF,325,12884,1,0,1,0,0,normal
S0,0,0,0,1,0.14,0.06,0,ataque
REJ,0,0,0,0,1,0,0.19,normal
SF,12,0,1,0,1,0,0.05,normal
SF,212,828,1,0,1,0,0.03,normal
SF,240,1475,1,0,1,0,0,normal
SF,292,13206,1,0,1,0,0.04,normal
SF,172,12793,1,0,1,0,0,normal
S0,0,0,0,1,0.05,0.06,0,ataque
SF,310,788,1,0,1,0,0,normal
SF,44,128,0,0,1,0,0,normal
SF,145,0,0,0,0.33,0.67,0,normal
SF,1238,2451,1,0,1,0,0,ataque
SF,8,0,0,0,1,0,0.51,ataque
SF,45,45,0,0,1,0,0,normal
RSTR,0,0,0,0,0.5,1,0,ataque
SF,1551,362,1,0,1,0,0.01,normal
SF,1308,328,1,0,1,0,0.14,normal
SF,356,1125,1,0,1,0,0.03,normal
SF,364,6914,1,0,1,0,0,normal
SF,331,776,1,0,1,0,0,normal
SF,30,0,0,0,0.5,1,0,normal
S0,0,0,0,1,0.03,0.06,0,ataque
S0,0,0,0,1,0.17,0.06,0,ataque
SF,247,7546,1,0,1,0,0.01,normal
SF,300,1841,1,0,1,0,0.02,normal
S0,0,0,0,1,0.07,0.06,0,ataque
SF,355,2109,1,0,1,0,0.05,normal
S0,0,0,0,1,0.42,0.06,0,ataque
SF,316,1260,1,0,1,0,0,normal
SF,44,136,0,0,1,0,0,normal
SF,1458,4152,1,0,1,0,0,normal
S0,0,0,0,1,0.06,0.05,0,ataque
SF,146,105,0,0,0.5,0.5,0,normal
RSTR,0,0,0,0,1,0,0,ataque
REJ,0,0,0,0,0.05,0.06,0,ataque
SF,1,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.11,0.05,0,ataque
S0,0,0,0,1,0.04,0.06,0,ataque
SF,146,105,0,0,0.4,0.6,0,normal
S0,0,0,0,1,0.08,0.15,0,ataque
RSTO,13794,2966,1,0,1,0,0.02,normal
S0,0,0,0,1,0.27,0.05,0,ataque
SF,911,325,1,0,0.5,1,0.01,normal
S0,0,0,0,0.78,1,0,0.01,ataque
SF,280,3332,1,0,1,0,0.07,normal
S0,0,0,0,1,0.02,0.07,0,ataque
S0,0,0,0,1,0.15,0.05,0,ataque
SF,41,41,0,0,1,0,0,normal
SF,10,139,0,0,1,0,0,normal
SF,311,488,1,0,1,0,0.04,normal
SF,281,1745,1,0,1,0,0.07,normal
SF,297,1285,1,0,1,0,0.04,normal
S0,0,0,0,1,0.02,0.07,0,ataque
SF,43,72,0,0,1,0.01,0,normal
S0,0,0,0,1,0.44,0.06,0,ataque
SF,334,0,1,0,1,0,0.24,ataque
SF,8,0,0,0,1,0,0.54,ataque
SF,215,9399,1,0,1,0,0.05,normal
S0,0,0,0,1,0.19,0.25,0,ataque
REJ,0,0,0,0,1,0,0.07,normal
SF,516,4,0,0,1,0,0,normal
REJ,0,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.06,0.06,0,ataque
REJ,0,0,0,0,0.08,0.06,0,ataque
S0,0,0,0,1,0.06,0.07,0,ataque
SF,44,44,0,0,0.33,0.67,0,normal
RSTO,0,0,0,0,0.06,0.06,0,ataque
SF,676,328,1,0,1,0,0.01,normal
SF,334,455,1,0,1,0,0.02,normal
S0,0,0,0,1,0.01,0.07,0,ataque
S0,0,0,0,1,0.21,0.06,0,ataque
SF,204,1596,1,0,1,0,0.04,normal
SF,520,0,0,0,1,0,0,ataque
S0,0,0,0,1,0.03,0.06,0,ataque
SF,192,301,1,0,1,0,0.05,normal
SF,18,0,0,0,1,0,0.25,ataque
S0,0,0,0,1,0.02,0.06,0,ataque
S0,0,0,0,1,0.13,0.05,0,ataque
S0,0,0,0,1,0.02,0.06,0,ataque
SF,256,4486,1,0,1,0,0,normal
SF,64,0,0,0,1,0,0,normal
SF,46,136,0,0,1,0,0,normal
S0,0,0,0,1,0.31,0.07,0,ataque
SF,220,253,1,0,1,0,0.01,normal
SF,41,117,0,0,1,0,0,normal
SF,248,2313,1,0,1,0,0.01,normal
SF,1250,2451,1,0,1,0,0,ataque
REJ,0,0,0,0,0.08,0.06,0,ataque
SF,44,70,0,0,1,0,0,normal
